"targa","data_immatricolazione","propietario","modello","allestimento"
"HT187UM","2010-05-22 22:10:25","VGVSZB98T64D915I","Portofino","Performance"
"FR702PX","2010-05-22 22:10:25","PDHHXR28T43A184X","Portofino","Performance"
"TT606XC","2010-05-22 22:10:25","QQTDSH54P63L303M","Portofino","Performance"
"XT513NT","2010-05-22 22:10:25","FQBLTT43T45L271J","Portofino","Performance"
"SN900RT","2010-05-22 22:10:25","FQBLTT43T45L271J","Portofino","Performance"
"KP441SD","2010-05-22 22:10:25","FKWFNF92R22B522E","Portofino","Performance"
"VY912RT","2010-05-22 22:10:25","QQTDSH54P63L303M","Portofino","Performance"
"IU004CZ","2010-05-22 22:10:25","PDHHXR28T43A184X","Portofino","Performance"
"CQ775NH","2010-05-22 22:10:25","SBCGZR53B08A320F","Portofino","Performance"
"WQ446IL","2010-05-22 22:10:25","MRRFPM58E29C803O","Portofino","Performance"
"YG121WV","2010-05-22 22:10:25","LLYYHJ28P49B157X","Portofino","Performance"
"JI792BP","2010-05-22 22:10:25","FKWFNF92R22B522E","Portofino","Performance"
"DJ150VK","2010-05-22 22:10:25","FKWFNF92R22B522E","Portofino","Performance"
"RE672QU","2010-05-22 22:10:25","PPJTKR52S49G297K","Portofino","Performance"
"SF877PZ","2010-05-22 22:10:25","TPLFHK94L23C596M","Portofino","Performance"
"UF783QR","2010-05-22 22:10:25","LLMSDV82R03B591I","Portofino","Performance"
"PR992DC","2010-05-22 22:10:25","FGPKTM32L25F250Y","Portofino","Performance"
"PP857HJ","2010-05-22 22:10:25","RRNHCT55M24F944G","Portofino","Performance"
"GB228RS","2010-05-22 22:10:25","QMTQMJ72S61M204I","Portofino","Performance"
"PS251JH","2010-05-22 22:10:25","FGPKTM32L25F250Y","Portofino","Performance"
"PA201JU","2010-05-22 22:10:25","BTQLHB34R61A975Q","Portofino","Performance"
"YH894LC","2010-05-22 22:10:25","MRRFPM58E29C803O","Portofino","Performance"
"BZ086BW","2010-05-22 22:10:25","FQBLTT43T45L271J","Portofino","Performance"
"JX998FL","2010-05-22 22:10:25","RLBRBL54C59I690Y","Portofino","Performance"
"MK573DT","2010-05-22 22:10:25","RLBRBL54C59I690Y","Portofino","Performance"
"JJ785MO","2010-05-22 22:10:25","DKHTMG49H24I896S","Portofino","Performance"
"AO046GD","2010-05-22 22:10:25","LLMSDV82R03B591I","Portofino","Performance"
"PL744KF","2010-05-22 22:10:25","VFKNDG91H65C623X","Portofino","Performance"
"CH145OY","2010-05-22 22:10:25","KBWCYS71M09B985N","Portofino","Performance"
"QD110RK","2010-05-22 22:10:25","PDHHXR28T43A184X","Portofino","Performance"
"ZX046NE","2010-05-22 22:10:25","NVNJPT84E20G913G","Portofino","Performance"
"DC524JU","2010-05-22 22:10:25","QAUDCO74E20B457F","Portofino","Performance"
"HJ529ZB","2010-05-22 22:10:25","QTPVZC86D08E615C","Portofino","Performance"
"RO247CD","2010-05-22 22:10:25","GYCJCG74P43E317Y","Portofino","Performance"
"RN644NM","2010-05-22 22:10:25","BMPZVG79R45L487W","Portofino","Performance"
"OC217ZP","2010-05-22 22:10:25","QAUDCO74E20B457F","Portofino","Performance"
"GF816IR","2010-05-22 22:10:25","QMTQMJ72S61M204I","Portofino","Performance"
"QG832KC","2010-05-22 22:10:25","FKWFNF92R22B522E","Portofino","Performance"
"LT947IZ","2010-05-22 22:10:25","SBCGZR53B08A320F","Portofino","Performance"
"GV107NR","2010-05-22 22:10:25","XTDKVG59D28F605E","Portofino","Performance"
"OV354XX","2010-05-22 22:10:25","NVNJPT84E20G913G","Portofino","Performance"
"ZU785TN","2010-05-22 22:10:25","QMTQMJ72S61M204I","Portofino","Performance"
"NB520UQ","2010-05-22 22:10:25","HSLMDN80P51B235Q","Portofino","Performance"
"AF104KN","2010-05-22 22:10:25","KXFVCR98S55D168M","Portofino","Performance"
"IC038JL","2010-05-22 22:10:25","VFKNDG91H65C623X","Portofino","Performance"
"WH737OX","2010-05-22 22:10:25","FKWFNF92R22B522E","Portofino","Performance"
"HU308IA","2010-05-22 22:10:25","GYCJCG74P43E317Y","Portofino","Performance"
"UV952IE","2010-05-22 22:10:25","VFKNDG91H65C623X","Portofino","Performance"
"OY358EI","2010-05-22 22:10:25","LLYYHJ28P49B157X","Portofino","Performance"
"BC321KJ","2010-05-22 22:10:25","ZVFRXE51C68I030E","Portofino","Performance"
"IY749HU","2010-05-22 22:10:25","LLMSDV82R03B591I","Portofino","Performance"
"LL328AD","2010-05-22 22:10:25","BTQLHB34R61A975Q","Portofino","Performance"
"OP821LZ","2010-05-22 22:10:25","ZBRPQL35S52F939S","Portofino","Performance"
"SS223WJ","2010-05-22 22:10:25","FGPKTM32L25F250Y","Portofino","Performance"
"ZQ352XA","2010-05-22 22:10:25","QQTDSH54P63L303M","Portofino","Performance"
"LF188KW","2010-05-22 22:10:25","BNFTNW47C31L775D","Portofino","Performance"
"PW285HM","2010-05-22 22:10:25","XTDKVG59D28F605E","Portofino","Performance"
"DH014FM","2010-05-22 22:10:25","DTBFGB99B22A760E","Portofino","Performance"
"LN344CP","2010-05-22 22:10:25","ZBRPQL35S52F939S","Portofino","Performance"
"BQ930FF","2010-05-22 22:10:25","ZBRPQL35S52F939S","Portofino","Performance"
"KA948NY","2010-05-22 22:10:25","DKHTMG49H24I896S","Portofino","Performance"
"HV163KM","2010-05-22 22:10:25","PDHHXR28T43A184X","Portofino","Performance"
"TE057PM","2010-05-22 22:10:25","FQBLTT43T45L271J","Portofino","Performance"
"BO884YE","2010-05-22 22:10:25","PFXYBC33H43F924E","Portofino","Performance"
"AF964MO","2010-05-22 22:10:25","GZMVGD91H61E684W","Portofino","Performance"
"EZ463VA","2010-05-22 22:10:25","RLBRBL54C59I690Y","Portofino","Performance"
"UJ799JE","2010-05-22 22:10:25","LLYYHJ28P49B157X","Portofino","Performance"
"PI052UD","2010-05-22 22:10:25","RZRKLC70H07L772S","Portofino","Performance"
"OL946NR","2010-05-22 22:10:25","MRRFPM58E29C803O","Portofino","Performance"
"IQ222PU","2010-05-22 22:10:25","ZVFRXE51C68I030E","Portofino","Performance"
"DM146ZC","2010-05-22 22:10:25","ZVFRXE51C68I030E","Portofino","Performance"
"FY914GI","2010-05-22 22:10:25","HSLMDN80P51B235Q","Portofino","Performance"
"EN243ME","2010-05-22 22:10:25","LLYYHJ28P49B157X","Portofino","Performance"
"OQ650BP","2010-05-22 22:10:25","LKDGXK54D05M153T","Portofino","Performance"
"YX251GD","2010-05-22 22:10:25","ZBRPQL35S52F939S","Portofino","Performance"
"JJ193GK","2010-05-22 22:10:25","QMTQMJ72S61M204I","Portofino","Performance"
"EA922DA","2010-05-22 22:10:25","VFKNDG91H65C623X","Portofino","Performance"
"SC842JG","2010-05-22 22:10:25","HNZVVF28C65G028Y","Portofino","Performance"
"MO603FF","2010-05-22 22:10:25","PPJTKR52S49G297K","Portofino","Performance"
"LQ387VW","2010-05-22 22:10:25","PPJTKR52S49G297K","Portofino","Performance"
"YW489ZL","2010-05-22 22:10:25","FKWFNF92R22B522E","Portofino","Performance"
"GN493WN","2010-05-22 22:10:25","XTDKVG59D28F605E","Portofino","Performance"
"JS426DQ","2010-05-22 22:10:25","FQBLTT43T45L271J","Portofino","Performance"
"RW444GS","2010-05-22 22:10:25","ZBRPQL35S52F939S","Portofino","Performance"
"WS487KY","2010-05-22 22:10:25","QAUDCO74E20B457F","Portofino","Performance"
"MP541IZ","2010-05-22 22:10:25","VFKNDG91H65C623X","Portofino","Performance"
"YT905TU","2010-05-22 22:10:25","PPJTKR52S49G297K","Portofino","Performance"
"KQ066MV","2010-05-22 22:10:25","BMPZVG79R45L487W","Portofino","Performance"
"SR603JX","2010-05-22 22:10:25","SBCGZR53B08A320F","Portofino","Performance"
"IW137XP","2010-05-22 22:10:25","FQBLTT43T45L271J","Portofino","Performance"
"WI761TH","2010-05-22 22:10:25","LKDGXK54D05M153T","Portofino","Performance"
"JL445JI","2010-05-22 22:10:25","FKWFNF92R22B522E","Portofino","Performance"
"OK889ML","2010-05-22 22:10:25","LLMSDV82R03B591I","Portofino","Performance"
"ON613TN","2010-05-22 22:10:25","RZRKLC70H07L772S","Portofino","Performance"
"IV705WH","2010-05-22 22:10:25","ZBRPQL35S52F939S","Portofino","Performance"
"LP038JG","2010-05-22 22:10:25","BMPZVG79R45L487W","Portofino","Performance"
"LH106KR","2010-05-22 22:10:25","TPLFHK94L23C596M","Portofino","Performance"
"YG060WR","2010-05-22 22:10:25","VGVSZB98T64D915I","Portofino","Performance"
"SA386AB","2010-05-22 22:10:25","HSLMDN80P51B235Q","Portofino","Performance"
"OK915ZN","2010-05-22 22:10:25","LKDGXK54D05M153T","Portofino","Performance"
"ZS901WG","2010-05-22 22:10:25","SBCGZR53B08A320F","Portofino","Performance"
"VE008UO","2010-05-22 22:10:25","SBCGZR53B08A320F","Portofino","Performance"
"VJ908CM","2010-05-22 22:10:25","FGPKTM32L25F250Y","Portofino","Performance"
"BS651PR","2010-05-22 22:10:25","LKDGXK54D05M153T","Portofino","Performance"
"GV682ZP","2010-05-22 22:10:25","BTQLHB34R61A975Q","Portofino","Performance"
"IV157TG","2010-05-22 22:10:25","RLBRBL54C59I690Y","Portofino","Performance"
"HH193TP","2010-05-22 22:10:25","YRLSBX54D65Z345W","Portofino","Performance"
"DY321BJ","2010-05-22 22:10:25","DHAMJU58C68H445W","Portofino","Performance"
"YG171TM","2010-05-22 22:10:25","HNZVVF28C65G028Y","Portofino","Performance"
"RV599FB","2010-05-22 22:10:25","HSLMDN80P51B235Q","Portofino","Performance"
"YJ613NS","2010-05-22 22:10:25","FQBLTT43T45L271J","Portofino","Performance"
"DH564MY","2010-05-22 22:10:25","VGVSZB98T64D915I","Portofino","Performance"
"ES028GQ","2010-05-22 22:10:25","QTPVZC86D08E615C","Portofino","Performance"
"KH262NZ","2010-05-22 22:10:25","HCYBGQ39M54F035P","Portofino","Performance"
"QQ514JS","2010-05-22 22:10:25","BTQLHB34R61A975Q","Portofino","Performance"
"DI403MX","2010-05-22 22:10:25","QMTQMJ72S61M204I","Portofino","Performance"
"ME270XW","2010-05-22 22:10:25","FKWFNF92R22B522E","Portofino","Performance"
"YD875ZU","2010-05-22 22:10:25","QAUDCO74E20B457F","Portofino","Performance"
"DV568VL","2010-05-22 22:10:25","YRLSBX54D65Z345W","Portofino","Performance"
"KV862SK","2010-05-22 22:10:25","XTDKVG59D28F605E","Portofino","Performance"
"IZ625OC","2010-05-22 22:10:25","FGPKTM32L25F250Y","Portofino","Performance"
"LI650OH","2010-05-22 22:10:25","PDHHXR28T43A184X","Portofino","Performance"
"YZ908CB","2010-05-22 22:10:25","TPLFHK94L23C596M","488","Premium"
"XY056AD","2010-05-22 22:10:25","FKWFNF92R22B522E","488","Premium"
"RN621CB","2010-05-22 22:10:25","BMPZVG79R45L487W","488","Premium"
"SA284UH","2010-05-22 22:10:25","QTPVZC86D08E615C","488","Premium"
"CH756FE","2010-05-22 22:10:25","PPJTKR52S49G297K","488","Premium"
"BX670LD","2010-05-22 22:10:25","PFXYBC33H43F924E","488","Premium"
"HH612IR","2010-05-22 22:10:25","NVNJPT84E20G913G","488","Premium"
"NP878GQ","2010-05-22 22:10:25","FGPKTM32L25F250Y","488","Premium"
"GJ020AV","2010-05-22 22:10:25","FKWFNF92R22B522E","488","Premium"
"KX278HR","2010-05-22 22:10:25","LLYYHJ28P49B157X","488","Premium"
"YR307AM","2010-05-22 22:10:25","FGPKTM32L25F250Y","488","Premium"
"WH345GT","2010-05-22 22:10:25","XTDKVG59D28F605E","488","Premium"
"OQ313AV","2010-05-22 22:10:25","VFKNDG91H65C623X","488","Premium"
"KA750HR","2010-05-22 22:10:25","HSLMDN80P51B235Q","488","Premium"
"QY423FC","2010-05-22 22:10:25","QTPVZC86D08E615C","488","Premium"
"FE262JJ","2010-05-22 22:10:25","LKDGXK54D05M153T","488","Premium"
"NT391VH","2010-05-22 22:10:25","PDHHXR28T43A184X","488","Premium"
"LD243ZW","2010-05-22 22:10:25","KBWCYS71M09B985N","488","Premium"
"JS626AN","2010-05-22 22:10:25","RLBRBL54C59I690Y","488","Premium"
"AD312TZ","2010-05-22 22:10:25","HNZVVF28C65G028Y","488","Premium"
"QU108QM","2010-05-22 22:10:25","QMTQMJ72S61M204I","488","Premium"
"LS821NJ","2010-05-22 22:10:25","LLMSDV82R03B591I","488","Premium"
"II318DY","2010-05-22 22:10:25","QMTQMJ72S61M204I","488","Premium"
"GI994MY","2010-05-22 22:10:25","DHAMJU58C68H445W","488","Premium"
"BH999XU","2010-05-22 22:10:25","QQTDSH54P63L303M","488","Premium"
"NH722LT","2010-05-22 22:10:25","ZVFRXE51C68I030E","488","Premium"
"AB744TL","2010-05-22 22:10:25","HSLMDN80P51B235Q","488","Premium"
"MB524TJ","2010-05-22 22:10:25","ZVFRXE51C68I030E","488","Premium"
"IG881HL","2010-05-22 22:10:25","KXFVCR98S55D168M","488","Premium"
"TH303DX","2010-05-22 22:10:25","HCYBGQ39M54F035P","488","Premium"
"GX658EM","2010-05-22 22:10:25","LKDGXK54D05M153T","488","Premium"
"OU436LY","2010-05-22 22:10:25","RRNHCT55M24F944G","488","Premium"
"KR392RN","2010-05-22 22:10:25","BMPZVG79R45L487W","488","Premium"
"OX725PE","2010-05-22 22:10:25","HNZVVF28C65G028Y","488","Premium"
"HW799ZM","2010-05-22 22:10:25","NZVDZQ91M61M211F","488","Premium"
"SK769DS","2010-05-22 22:10:25","BMPZVG79R45L487W","488","Premium"
"ZV253ZA","2010-05-22 22:10:25","RRNHCT55M24F944G","488","Premium"
"PG599OM","2010-05-22 22:10:25","MRRFPM58E29C803O","488","Premium"
"JO812VK","2010-05-22 22:10:25","RLBRBL54C59I690Y","488","Premium"
"CS982IW","2010-05-22 22:10:25","LKDGXK54D05M153T","488","Premium"
"TF479BZ","2010-05-22 22:10:25","BNFTNW47C31L775D","488","Premium"
"MP470CU","2010-05-22 22:10:25","BMPZVG79R45L487W","488","Premium"
"TD319TW","2010-05-22 22:10:25","FKWFNF92R22B522E","488","Premium"
"VW314HX","2010-05-22 22:10:25","KBWCYS71M09B985N","488","Premium"
"QE661FV","2010-05-22 22:10:25","QQTDSH54P63L303M","488","Premium"
"UJ787VU","2010-05-22 22:10:25","FKWFNF92R22B522E","488","Premium"
"GP028YA","2010-05-22 22:10:25","RLBRBL54C59I690Y","488","Premium"
"NJ241FL","2010-05-22 22:10:25","MRRFPM58E29C803O","488","Premium"
"DD775NG","2010-05-22 22:10:25","FGPKTM32L25F250Y","488","Premium"
"BD041XI","2010-05-22 22:10:25","NZVDZQ91M61M211F","488","Premium"
"WY287LY","2010-05-22 22:10:25","DTBFGB99B22A760E","488","Premium"
"ZB732ZZ","2010-05-22 22:10:25","LLMSDV82R03B591I","488","Premium"
"GU274IQ","2010-05-22 22:10:25","DTBFGB99B22A760E","488","Premium"
"XP182JH","2010-05-22 22:10:25","RZRKLC70H07L772S","488","Premium"
"QG032AQ","2010-05-22 22:10:25","FKWFNF92R22B522E","488","Premium"
"SZ828YN","2010-05-22 22:10:25","BMPZVG79R45L487W","488","Premium"
"ZJ098FO","2010-05-22 22:10:25","KXFVCR98S55D168M","488","Premium"
"YE012JA","2010-05-22 22:10:25","FGPKTM32L25F250Y","488","Premium"
"WA402IC","2010-05-22 22:10:25","QMTQMJ72S61M204I","488","Premium"
"RS388JF","2010-05-22 22:10:25","LLYYHJ28P49B157X","488","Premium"
"UA862OD","2010-05-22 22:10:25","HCYBGQ39M54F035P","488","Premium"
"TF972VZ","2010-05-22 22:10:25","QMTQMJ72S61M204I","488","Premium"
"ME326LE","2010-05-22 22:10:25","KXFVCR98S55D168M","488","Premium"
"CG558OW","2010-05-22 22:10:25","KXFVCR98S55D168M","488","Premium"
"YA501KD","2010-05-22 22:10:25","FQBLTT43T45L271J","488","Premium"
"FJ839XS","2010-05-22 22:10:25","YRLSBX54D65Z345W","488","Premium"
"FK870MB","2010-05-22 22:10:25","GZMVGD91H61E684W","488","Premium"
"FO029CE","2010-05-22 22:10:25","DKHTMG49H24I896S","488","Premium"
"UD981MK","2010-05-22 22:10:25","QTPVZC86D08E615C","488","Premium"
"PB967TB","2010-05-22 22:10:25","GZMVGD91H61E684W","488","Premium"
"VW859DN","2010-05-22 22:10:25","HNZVVF28C65G028Y","488","Premium"
"CM580OL","2010-05-22 22:10:25","LLMSDV82R03B591I","488","Premium"
"FQ577QX","2010-05-22 22:10:25","HCYBGQ39M54F035P","488","Premium"
"GA894WJ","2010-05-22 22:10:25","VFKNDG91H65C623X","488","Premium"
"OO837UR","2010-05-22 22:10:25","HCYBGQ39M54F035P","488","Premium"
"MP689YE","2010-05-22 22:10:25","NVNJPT84E20G913G","488","Premium"
"OY791EE","2010-05-22 22:10:25","ZVFRXE51C68I030E","488","Premium"
"MT649NF","2010-05-22 22:10:25","DTBFGB99B22A760E","488","Premium"
"CI216CI","2010-05-22 22:10:25","GYCJCG74P43E317Y","488","Premium"
"OT194US","2010-05-22 22:10:25","KXFVCR98S55D168M","488","Premium"
"MS726IJ","2010-05-22 22:10:25","QAUDCO74E20B457F","488","Premium"
"JH038JN","2010-05-22 22:10:25","QAUDCO74E20B457F","488","Premium"
"FC310ZT","2010-05-22 22:10:25","LKDGXK54D05M153T","488","Premium"
"LQ688XH","2010-05-22 22:10:25","DHAMJU58C68H445W","488","Premium"
"ZI481UH","2010-05-22 22:10:25","QQTDSH54P63L303M","488","Premium"
"FG958VG","2010-05-22 22:10:25","XTDKVG59D28F605E","488","Premium"
"MA593EH","2010-05-22 22:10:25","QMTQMJ72S61M204I","488","Premium"
"RN281NW","2010-05-22 22:10:25","KXFVCR98S55D168M","488","Premium"
"BU996CG","2010-05-22 22:10:25","DTBFGB99B22A760E","488","Premium"
"FD219LO","2010-05-22 22:10:25","VFKNDG91H65C623X","488","Premium"
"BZ032GH","2010-05-22 22:10:25","RLBRBL54C59I690Y","488","Premium"
"PI931IA","2010-05-22 22:10:25","KXFVCR98S55D168M","488","Premium"
"CN902PH","2010-05-22 22:10:25","DHAMJU58C68H445W","488","Premium"
"WP916XH","2010-05-22 22:10:25","PPJTKR52S49G297K","488","Premium"
"SE285PO","2010-05-22 22:10:25","QMTQMJ72S61M204I","488","Premium"
"IU379IQ","2010-05-22 22:10:25","DHAMJU58C68H445W","488","Premium"
"VK283GL","2010-05-22 22:10:25","HCYBGQ39M54F035P","488","Premium"
"GU210VW","2010-05-22 22:10:25","TPLFHK94L23C596M","488","Premium"
"JX503RV","2010-05-22 22:10:25","FGPKTM32L25F250Y","488","Premium"
"SW928MQ","2010-05-22 22:10:25","PDHHXR28T43A184X","488","Premium"
"KM871DH","2010-05-22 22:10:25","BNFTNW47C31L775D","488","Premium"
"XA636QR","2010-05-22 22:10:25","NVNJPT84E20G913G","488","Premium"
"WW886PA","2010-05-22 22:10:25","FKWFNF92R22B522E","488","Premium"
"NU121VH","2010-05-22 22:10:25","HNZVVF28C65G028Y","488","Premium"
"QD703FI","2010-05-22 22:10:25","BMPZVG79R45L487W","488","Premium"
"YQ615KM","2010-05-22 22:10:25","FKWFNF92R22B522E","488","Premium"
"AO700TA","2010-05-22 22:10:25","GYCJCG74P43E317Y","488","Premium"
"OR687XH","2010-05-22 22:10:25","VGVSZB98T64D915I","488","Premium"
"EG374AC","2010-05-22 22:10:25","HSLMDN80P51B235Q","488","Premium"
"AE672MK","2010-05-22 22:10:25","RZRKLC70H07L772S","488","Premium"
"ZX186ZF","2010-05-22 22:10:25","NZVDZQ91M61M211F","488","Premium"
"GA444EN","2010-05-22 22:10:25","ZVFRXE51C68I030E","488","Premium"
"SA786DI","2010-05-22 22:10:25","NVNJPT84E20G913G","488","Premium"
"PW009TL","2010-05-22 22:10:25","KBWCYS71M09B985N","488","Premium"
"HE948BW","2010-05-22 22:10:25","QQTDSH54P63L303M","488","Premium"
"FS992DR","2010-05-22 22:10:25","SBCGZR53B08A320F","488","Premium"
"BT781PS","2010-05-22 22:10:25","BNFTNW47C31L775D","488","Premium"
"US327BV","2010-05-22 22:10:25","PPJTKR52S49G297K","488","Premium"
"NR264DN","2010-05-22 22:10:25","KBWCYS71M09B985N","A5","Luxury"
"NY398TD","2010-05-22 22:10:25","NVNJPT84E20G913G","A5","Luxury"
"EL828JG","2010-05-22 22:10:25","VGVSZB98T64D915I","A5","Luxury"
"NV596LT","2010-05-22 22:10:25","FQBLTT43T45L271J","A5","Luxury"
"FK627UH","2010-05-22 22:10:25","ZBRPQL35S52F939S","A5","Luxury"
"FY293RL","2010-05-22 22:10:25","DTBFGB99B22A760E","A5","Luxury"
"QF430RY","2010-05-22 22:10:25","GZMVGD91H61E684W","A5","Luxury"
"DO042RN","2010-05-22 22:10:25","RRNHCT55M24F944G","A5","Luxury"
"OU800ON","2010-05-22 22:10:25","QMTQMJ72S61M204I","A5","Luxury"
"BG399UQ","2010-05-22 22:10:25","BTQLHB34R61A975Q","A5","Luxury"
"FO067YU","2010-05-22 22:10:25","LKDGXK54D05M153T","A5","Luxury"
"YS741BS","2010-05-22 22:10:25","NZVDZQ91M61M211F","A5","Luxury"
"KT019PN","2010-05-22 22:10:25","PPJTKR52S49G297K","A5","Luxury"
"AR096RW","2010-05-22 22:10:25","RZRKLC70H07L772S","A5","Luxury"
"ZA089OL","2010-05-22 22:10:25","LKDGXK54D05M153T","A5","Luxury"
"HA655RS","2010-05-22 22:10:25","FGPKTM32L25F250Y","A5","Luxury"
"NW239YH","2010-05-22 22:10:25","ZBRPQL35S52F939S","A5","Luxury"
"FX808ZI","2010-05-22 22:10:25","TPLFHK94L23C596M","A5","Luxury"
"TM861VS","2010-05-22 22:10:25","DHAMJU58C68H445W","A5","Luxury"
"DV038UC","2010-05-22 22:10:25","HNZVVF28C65G028Y","A5","Luxury"
"ZV435MW","2010-05-22 22:10:25","HSLMDN80P51B235Q","A5","Luxury"
"FC690RA","2010-05-22 22:10:25","BTQLHB34R61A975Q","A5","Luxury"
"BQ103FT","2010-05-22 22:10:25","HCYBGQ39M54F035P","A5","Luxury"
"OE982PH","2010-05-22 22:10:25","HCYBGQ39M54F035P","A5","Luxury"
"FV125PT","2010-05-22 22:10:25","LKDGXK54D05M153T","A5","Luxury"
"IE996RV","2010-05-22 22:10:25","DTBFGB99B22A760E","A5","Luxury"
"SJ513GZ","2010-05-22 22:10:25","FGPKTM32L25F250Y","A5","Luxury"
"VB493HX","2010-05-22 22:10:25","QTPVZC86D08E615C","A5","Luxury"
"VW136QN","2010-05-22 22:10:25","BMPZVG79R45L487W","A5","Luxury"
"BG673BI","2010-05-22 22:10:25","RZRKLC70H07L772S","A5","Luxury"
"WQ386CF","2010-05-22 22:10:25","QTPVZC86D08E615C","A5","Luxury"
"LO268QN","2010-05-22 22:10:25","VFKNDG91H65C623X","A5","Luxury"
"YO695VW","2010-05-22 22:10:25","FGPKTM32L25F250Y","A5","Luxury"
"RQ587TH","2010-05-22 22:10:25","NVNJPT84E20G913G","A5","Luxury"
"SG789AW","2010-05-22 22:10:25","RLBRBL54C59I690Y","A5","Luxury"
"YC118SF","2010-05-22 22:10:25","HNZVVF28C65G028Y","A5","Luxury"
"UG006FO","2010-05-22 22:10:25","LLMSDV82R03B591I","A5","Luxury"
"PD599XV","2010-05-22 22:10:25","PFXYBC33H43F924E","A5","Luxury"
"KZ687NA","2010-05-22 22:10:25","NVNJPT84E20G913G","A5","Luxury"
"DK606MI","2010-05-22 22:10:25","PFXYBC33H43F924E","A5","Luxury"
"BB620BI","2010-05-22 22:10:25","DHAMJU58C68H445W","A5","Luxury"
"XT351LK","2010-05-22 22:10:25","QMTQMJ72S61M204I","A5","Luxury"
"BW648EI","2010-05-22 22:10:25","QQTDSH54P63L303M","A5","Luxury"
"BC750VF","2010-05-22 22:10:25","NVNJPT84E20G913G","A5","Luxury"
"VO530IW","2010-05-22 22:10:25","DHAMJU58C68H445W","A5","Luxury"
"CQ217VE","2010-05-22 22:10:25","FQBLTT43T45L271J","A5","Luxury"
"RQ394XZ","2010-05-22 22:10:25","NVNJPT84E20G913G","A5","Luxury"
"TJ298WJ","2010-05-22 22:10:25","NVNJPT84E20G913G","A5","Luxury"
"HQ213WS","2010-05-22 22:10:25","QAUDCO74E20B457F","A5","Luxury"
"IH556YM","2010-05-22 22:10:25","VGVSZB98T64D915I","A5","Luxury"
"DV581EZ","2010-05-22 22:10:25","DHAMJU58C68H445W","A5","Luxury"
"WI462TF","2010-05-22 22:10:25","RLBRBL54C59I690Y","A5","Luxury"
"HK486PA","2010-05-22 22:10:25","KBWCYS71M09B985N","A5","Luxury"
"HV796MX","2010-05-22 22:10:25","ZBRPQL35S52F939S","A5","Luxury"
"IU105PW","2010-05-22 22:10:25","FKWFNF92R22B522E","A5","Luxury"
"NL222EQ","2010-05-22 22:10:25","DTBFGB99B22A760E","A5","Luxury"
"UQ919KD","2010-05-22 22:10:25","KXFVCR98S55D168M","A5","Luxury"
"WE254XT","2010-05-22 22:10:25","LLYYHJ28P49B157X","A5","Luxury"
"LP596IW","2010-05-22 22:10:25","KXFVCR98S55D168M","A5","Luxury"
"DJ806OE","2010-05-22 22:10:25","NZVDZQ91M61M211F","A5","Luxury"
"KR481ZV","2010-05-22 22:10:25","SBCGZR53B08A320F","A5","Luxury"
"KI698LV","2010-05-22 22:10:25","QAUDCO74E20B457F","A5","Luxury"
"FN152QB","2010-05-22 22:10:25","FKWFNF92R22B522E","A5","Luxury"
"RD636ZP","2010-05-22 22:10:25","RLBRBL54C59I690Y","A5","Luxury"
"SG586ER","2010-05-22 22:10:25","KBWCYS71M09B985N","A5","Luxury"
"GG587HU","2010-05-22 22:10:25","TPLFHK94L23C596M","A5","Luxury"
"ZW672YP","2010-05-22 22:10:25","LLMSDV82R03B591I","A5","Luxury"
"EV258QF","2010-05-22 22:10:25","KXFVCR98S55D168M","A5","Luxury"
"BD924UH","2010-05-22 22:10:25","NZVDZQ91M61M211F","A5","Luxury"
"MF008XA","2010-05-22 22:10:25","LKDGXK54D05M153T","A5","Luxury"
"YY765AM","2010-05-22 22:10:25","LLYYHJ28P49B157X","A5","Luxury"
"DX400MV","2010-05-22 22:10:25","QQTDSH54P63L303M","A5","Luxury"
"CC517JZ","2010-05-22 22:10:25","LLYYHJ28P49B157X","A5","Luxury"
"LZ687WQ","2010-05-22 22:10:25","KXFVCR98S55D168M","A5","Luxury"
"HV272GD","2010-05-22 22:10:25","RRNHCT55M24F944G","A5","Luxury"
"BJ544PK","2010-05-22 22:10:25","LKDGXK54D05M153T","A5","Luxury"
"JH846PL","2010-05-22 22:10:25","NVNJPT84E20G913G","A5","Luxury"
"TO173IY","2010-05-22 22:10:25","BNFTNW47C31L775D","A5","Luxury"
"OI877CP","2010-05-22 22:10:25","DTBFGB99B22A760E","A5","Luxury"
"NO900RO","2010-05-22 22:10:25","FKWFNF92R22B522E","A5","Luxury"
"SC797AT","2010-05-22 22:10:25","BMPZVG79R45L487W","A5","Luxury"
"XD442CI","2010-05-22 22:10:25","DHAMJU58C68H445W","A5","Luxury"
"CP645TL","2010-05-22 22:10:25","ZBRPQL35S52F939S","A5","Luxury"
"IW997LC","2010-05-22 22:10:25","FKWFNF92R22B522E","A5","Luxury"
"HP588IL","2010-05-22 22:10:25","SBCGZR53B08A320F","A5","Luxury"
"VB783IB","2010-05-22 22:10:25","QAUDCO74E20B457F","A5","Luxury"
"MH697RN","2010-05-22 22:10:25","LKDGXK54D05M153T","A5","Luxury"
"NW799LX","2010-05-22 22:10:25","XTDKVG59D28F605E","A5","Luxury"
"EC288FK","2010-05-22 22:10:25","ZBRPQL35S52F939S","A5","Luxury"
"EF588WU","2010-05-22 22:10:25","BMPZVG79R45L487W","A5","Luxury"
